From,To,Count
173,4043,6
173,5692,7
174,4572,3
175,1127,1
175,3262,7
175,3795,3
175,6055,8
175,6253,3
175,6499,7
176,266,1
176,609,11
176,1225,4
176,2172,2
176,2262,2
176,3531,3
176,3786,1
176,5445,4
177,2749,6
177,3127,6
177,3416,6
178,253,4
178,1872,1
178,2322,1
178,3378,1
178,3806,2
178,5214,14
178,5301,6
178,6243,3
179,242,3
179,4683,1
180,1938,12
180,2572,37
180,2719,12
180,3039,11
180,3487,2
180,4060,4
180,4829,4
180,5182,2
180,5213,4
180,5214,141
180,5275,16
180,5298,2
180,5387,2
180,5910,4
180,5982,2
180,6243,3
181,5214,5
181,5298,1
182,293,2
182,3186,2
183,183,76
183,293,1
183,696,3
183,1026,3
183,1097,76
183,1389,2
183,3028,3
183,3031,1
183,3570,2
183,4266,2
183,5576,1
183,6433,14
184,5910,6
185,641,3
186,2692,21
189,1026,2
189,1773,2
189,1922,2
189,2974,3
189,3003,1
189,3856,2
189,5325,1
189,5428,1
190,2081,1
190,5211,3
191,2138,3
191,2512,2
191,4383,19
191,4657,2
191,4871,9
191,5478,1
191,5925,18
191,6060,3
191,6250,3
191,6378,6
191,6414,42
191,6430,3
191,6593,2
192,2291,6
193,265,1
193,1801,3
193,2132,3
193,2974,3
193,3303,3
193,3794,12
193,4066,9
193,5283,1
193,6147,1
193,6404,3
194,793,13
194,2186,1
194,3028,7
194,3771,13
194,4108,12
194,6246,12
195,3170,2
195,3352,2
195,5410,2
196,196,181
198,793,11
198,3003,2
198,3028,80
198,3636,1
198,3771,11
198,3794,1
198,4108,6
198,5576,2
198,6246,6
200,505,3
200,2692,2
200,4234,2
200,4600,3
200,5989,3
201,358,2
201,2208,2
201,5732,2
202,1753,1
202,2572,5
203,730,3
203,3546,3
203,5461,6
203,5688,3
204,168,2
204,3223,3
204,3601,3
204,3960,2
204,4072,9
205,1696,1
205,4828,1
205,4915,6
206,961,4
206,1367,3
206,1927,3
206,2291,12
206,2572,2
206,2749,15
206,3818,1
206,3964,2
206,4195,12
206,4196,5
206,4431,3
206,5268,8
206,5513,2
206,5741,6
206,5910,22
206,6055,4
206,6414,3
207,3123,3
208,529,3
208,2702,3
208,3896,1
208,5285,3
209,209,3
209,633,1
209,4441,1
209,6085,2
210,210,1
210,493,2
210,850,3
210,872,1
210,1010,1
210,1424,1
210,1847,12
210,2181,5
210,2208,2
210,2343,6
210,2618,3
210,3343,6
210,3637,2
210,3712,2
210,3797,2
210,3960,2
210,3994,1
210,5295,2
210,5508,1
210,5692,3
210,6276,1
211,2300,1
211,6055,23
212,2749,1
213,1026,2
213,5795,3
214,5214,1
215,4431,5
216,2208,4
216,2874,2
216,3258,2
216,5732,2
217,489,3
217,1540,2
217,2208,3
217,3063,1
217,3184,1
217,3347,1
218,286,6
218,5295,6
218,5838,6
218,6055,4
219,321,3
219,2289,2
219,2291,4
219,3862,3
219,4061,3
219,5461,8
219,6161,3
221,1327,4
221,2385,1
221,3682,1
222,1540,3
223,1295,17
223,1843,6
223,2572,6
223,2618,3
223,2719,4
223,2968,6
223,3442,3
223,3602,2
223,3759,7
223,4043,13
223,4072,13
223,4840,3
223,5214,63
223,5485,2
223,5554,2
223,5910,59
223,5947,2
223,6243,3
224,4968,2
225,2604,2
225,4382,1
225,4412,2
225,5214,2
225,6121,1
226,226,4
226,606,1
226,706,1
226,1367,3
226,1384,1
226,1671,1
226,2355,3
226,2517,3
226,2702,11
226,3197,3
226,3496,2
226,3896,2
226,4390,1
226,4588,10
226,5200,1
226,5238,2
226,5340,3
226,5696,3
226,5908,3
226,6085,1
226,6123,1
226,6222,1
227,1068,1
227,2702,5
227,3253,3
227,3912,1
227,4588,3
227,5696,2
227,6052,1
227,6085,1
227,6222,1
227,6590,1
228,423,6
228,5674,6
229,5508,14
230,6414,7
231,191,3
231,2570,1
231,2958,1
231,3447,3
231,3547,3
231,4431,1
231,4941,4
231,6414,6
232,1120,2
233,1198,2
233,2539,1
233,4403,3
233,5211,1
234,2665,3
234,2812,3
234,3821,4
234,4382,4
234,4747,1
234,5461,5
234,5894,1
235,696,1
235,867,4
235,1025,3
235,1097,12
235,1546,9
235,2438,3
235,2664,1
235,2791,4
235,3107,1
235,3205,3
235,3437,9
235,3862,1
235,4176,3
235,4428,62
235,5454,12
235,6277,1
236,120,4
236,236,5
236,293,10
236,321,2
236,492,4
236,590,4
236,1025,4
236,1097,6
236,1228,21
236,1609,8
236,1785,24
236,3703,24
236,4415,24
236,4428,137
236,5283,1
236,5576,32
237,378,3
237,866,1
237,3245,5
238,951,9
238,3945,9
239,409,12
239,3262,37
239,3392,8
239,3795,21
239,3992,3
239,5476,10
239,6055,37
239,6253,2
239,6499,50
240,2231,3
240,4828,9
240,4935,9
240,5214,10
240,6243,6
241,3028,9
242,242,99
242,544,6
242,1367,1
242,2749,4
242,3473,1
242,4683,1
242,5121,1
242,5710,1
243,1374,3
243,1864,3
243,2208,2
243,3262,2
244,2385,2
244,3387,2
245,2719,4
246,246,2
246,998,4
246,1138,4
246,5508,25
247,479,3
247,722,25
247,787,9
247,849,66
247,1257,13
247,1374,349
247,1413,12
247,1728,4
247,1798,3
247,1801,132
247,1864,15
247,1919,2
247,2137,3
247,2188,150
247,2372,2
247,2423,8
247,2612,2
247,2943,3
247,2947,5
247,3211,5
247,3303,90
247,3580,155
247,3783,6
247,3813,6
247,4055,3
247,4244,8
247,4364,3
247,4477,2
247,5124,2
247,5250,9
247,5898,3
247,5992,3
247,6163,3
247,6175,51
247,6201,16
247,6314,39
248,489,3
248,867,3
248,2289,3
248,3039,3
248,3482,3
248,4515,3
249,321,6
249,729,8
249,1433,5
249,1789,8
249,2549,2
249,3206,1
249,3223,10
249,3416,1
249,3862,8
249,4072,16
249,4304,2
249,5461,3
249,5529,1
249,6055,2
250,1435,4
250,2512,2
250,3617,4
250,4201,2
250,5580,4
250,6378,9
250,6414,16
251,3706,2
251,4932,2
252,4077,2
